Date,Month,Time of Day,Stress Level,Location,RHR
09/09/20,9,AM,3,home,84
10/20/20,10,AM,4,home,64
10/20/20,10,Midday,3,work,68
10/21/20,10,Midday,3,work,68
10/22/20,10,AM,2,home,64
10/26/20,10,AM,2,home,76
10/26/20,10,Midday,3,work,76
10/26/20,10,Evening,2,home,68
10/27/20,10,AM,4,home,64
10/27/20,10,Evening,4,home,68
10/28/20,10,AM,1,home,64
10/28/20,10,Evening,4,home,72
10/29/20,10,AM,1,home,64
10/29/20,10,Evening,6,home,76
10/30/20,10,AM,2,home,64
10/30/20,10,Midday,6,work,84
11/02/20,11,AM,3,home,84
11/02/20,11,Midday,4,work,80
11/02/20,11,Evening,3,home,68
11/03/20,11,AM,4,home,68
11/03/20,11,Midday,6,work,80
11/03/20,11,Evening,8,home,80
11/04/20,11,Midday,6,work,96
11/05/20,11,AM,5,home,68
11/05/20,11,Evening,5,home,74
11/06/20,11,Midday,4,work,74
11/06/20,11,Evening,5,other,72
11/07/20,11,Midday,5,home,80
11/08/20,11,AM,3,home,68
11/08/20,11,Evening,3,home,64
11/09/20,11,AM,2,home,68
11/09/20,11,Midday,3,home,68
11/09/20,11,Evening,4,home,76
11/10/20,11,AM,2,home,64
11/10/20,11,Midday,4,home,72
11/10/20,11,Evening,4,home,72
11/11/20,11,AM,3,home,68
11/11/20,11,Evening,4,home,72
11/12/20,11,AM,2,home,68
11/12/20,11,Midday,4,work,84
11/12/20,11,Evening,3,home,72
11/13/20,11,Evening,2,home,64
11/14/20,11,Midday,2,other,76
11/16/20,11,Evening,3,home,76
11/17/20,11,Evening,2,home,68
11/18/20,11,AM,2,home,64
11/18/20,11,Midday,4,other,76
11/19/20,11,AM,2,home,68
11/19/20,11,Midday,3,home,76
11/20/20,11,AM,2,home,68
11/20/20,11,Midday,3,home,76
11/21/20,11,AM,2,home,68
11/21/20,11,Midday,2,home,72
11/22/20,11,Evening,4,home,72
11/23/20,11,AM,3,home,64
11/24/20,11,AM,2,home,68
11/24/20,11,Midday,5,work,80
11/24/20,11,Evening,4,home,76
11/25/20,11,AM,4,home,72
11/26/20,11,Midday,4,home,74
11/28/20,11,Evening,3,other,68
11/29/20,11,Evening,4,home,80
11/30/20,11,AM,3,home,68
11/30/20,11,Evening,4,home,72
