Activity_Date,Activity,Activity notes
09/11/20,30 min of cardio ,Running and walking intervals
09/13/20,30 min of cardio ,Running and walking intervals
09/16/20,30 min of cardio ,Running and walking intervals
09/19/20,30 min of cardio ,Running and walking intervals
09/20/20,30 min of cardio ,Running and walking intervals
09/23/20,30 min of cardio ,Running and walking intervals
09/26/20,30 min of cardio ,Running and walking intervals
09/27/20,30 min of cardio ,Running and walking intervals
10/02/20,30 min of cardio ,Running and walking intervals
10/03/20,20 min of cardio,Cardio sculpt exercise
10/10/20,30 min of cardio ,Running and walking intervals
10/11/20,60 min of cardio,Running and walking intervals
10/14/20,30 min of cardio ,Cardio dance exercise
10/17/20,30 min of cardio ,Cardio dance exercise
10/21/20,30 min of cardio ,Cardio dance exercise
10/24/20,30 min of cardio ,Running and walking intervals
10/25/20,30 min of cardio ,Cardio dance exercise
10/31/20,30 min of cardio ,Cardio dance exercise
11/07/20,30 min of cardio ,Running and walking intervals
11/11/20,30 min of cardio ,Kickboxing cardio 
11/13/20,30 min of cardio ,HIIT workout
