Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-10-01,1900,6268,2.61,0,823,199,8,1,665
2020-10-02,2222,11675,5.24,0,762,181,6,59,1032
2020-10-03,1892,4790,2.01,0,689,203,20,0,689
2020-10-04,1978,7131,2.97,0,737,262,0,0,811
2020-10-05,1789,4504,1.88,0,902,173,0,0,524
2020-10-06,1832,6111,2.54,0,809,141,5,16,572
2020-10-07,1886,5743,2.39,0,838,213,0,0,654
2020-10-08,1815,5562,2.32,0,851,133,3,17,535
2020-10-09,1924,6563,2.73,0,823,216,10,1,707
2020-10-10,2208,12059,5.05,0,864,230,49,22,1080
2020-10-11,2271,12230,5.77,0,750,221,4,51,1123
2020-10-12,1861,5140,2.14,0,840,208,0,0,627
2020-10-13,1830,6265,2.61,0,847,111,4,25,541
2020-10-14,2100,10299,4.28,0,754,155,5,62,884
2020-10-15,1767,4502,1.87,0,818,153,0,0,486
2020-10-16,1787,5424,2.32,0,886,152,0,0,524
2020-10-17,1899,4758,1.99,0,1215,195,30,0,707
2020-10-18,1994,7129,2.96,0,641,268,9,1,842
2020-10-19,1739,3742,1.55,0,848,153,0,0,460
2020-10-20,1868,5829,2.42,0,882,173,1,18,627
2020-10-21,2035,9832,4.09,0,845,125,9,57,794
2020-10-22,1830,5543,2.3,0,844,168,5,7,581
2020-10-23,1789,4780,1.99,0,911,160,0,0,509
2020-10-24,2179,10641,4.72,0,660,239,3,39,1041
2020-10-25,2075,8917,3.7,0,746,247,8,26,928
2020-10-26,1842,6175,2.57,0,808,121,8,27,568
2020-10-27,1729,3901,1.55,0,911,141,0,0,431
2020-10-28,1836,5507,2.29,0,1258,169,9,4,581
2020-10-29,1716,3642,1.51,0,921,135,0,0,415
2020-10-30,1875,5745,2.39,0,877,179,5,11,625
2020-10-31,2258,11083,4.61,0,728,326,21,24,1196
